id,key,value,type
28103851,highway,residential,regular
28103851,oneway,yes,regular
28103852,highway,tertiary,regular
28103852,name,Asif Ali Road,regular
28103855,highway,tertiary,regular
28103855,name,Asaf Ali Road,regular
28121194,highway,tertiary,regular
28121194,name,Janpath,regular
28121194,old_name,Queensway,regular
28121207,highway,tertiary,regular
28121207,junction,roundabout,regular
28121210,highway,tertiary,regular
28121210,name,APJ Abdul Kalam Road,regular
28121210,oneway,yes,regular
28121215,highway,tertiary,regular
28121215,name,APJ Abdul Kalam Road,regular
28121215,oneway,yes,regular
28121249,highway,tertiary,regular
28121249,name,Safdarjang Road,regular
28121266,highway,secondary,regular
28121266,junction,roundabout,regular
28121266,oneway,yes,regular
28121291,highway,tertiary,regular
28121291,name,Akbar Road,regular
28121291,oneway,yes,regular
28121297,highway,secondary,regular
28121297,name,Krishna Menon Marg,regular
28121322,highway,tertiary,regular
28121322,name,Akbar road,regular
28121322,oneway,yes,regular
28121351,highway,tertiary,regular
28121351,name,Duplex Road,regular
28121355,highway,tertiary,regular
28121355,name,Dalhousie Road,regular
28121417,highway,unclassified,regular
28121435,highway,tertiary,regular
28121435,junction,roundabout,regular
28121435,oneway,yes,regular
28121442,highway,tertiary,regular
28121481,highway,tertiary,regular
28121481,name,South End Road,regular
28121486,bicycle,yes,regular
28121486,foot,yes,regular
28121486,highway,unclassified,regular
28121486,lanes,2,regular
28121486,name,Amrita Shergil Marg,regular
28121486,en,Amrita Shergil Road,name
28121486,surface,asphalt,regular
28121513,bicycle,yes,regular
28121513,foot,yes,regular
28121513,highway,residential,regular
28121513,name,Amrita Shergil Marg,regular
28121513,en,Amrita Shergil Road,name
28121513,surface,asphalt,regular
28121518,highway,residential,regular
28121520,highway,residential,regular
28121520,name,Khan Market,regular
28121520,oneway,yes,regular
28121535,bridge,yes,regular
28121535,highway,secondary,regular
28121535,layer,1,regular
28121535,name,Lala Lajpat Rai Path,regular
28121535,oneway,yes,regular
28121537,highway,secondary,regular
28121537,lanes,2,regular
28121537,name,Lala Lajpat Rai Path,regular
28121537,oneway,yes,regular
28121614,highway,residential,regular
28121614,name,Archbishop Makasons Road,regular
28121614,oneway,yes,regular
28153840,highway,tertiary,regular
28153840,name,Hospital Road,regular
28153848,highway,tertiary,regular
28153857,highway,residential,regular
28153857,name,Jangpura Road,regular
28153880,highway,residential,regular
28153880,name,Bhogal Road,regular
28153988,boat,no,regular
28153988,layer,-1,regular
28153988,tunnel,yes,regular
28153988,waterway,drain,regular
28153990,boat,yes,regular
28153990,waterway,river,regular
28155138,cables,6,regular
28155138,operator,Power Grid Corporation of India Ltd,regular
28155138,power,line,regular
28155138,voltage,400000,regular
28190265,highway,secondary,regular
28190265,name,Park Street,regular
28190265,oneway,-1,regular
28190296,highway,tertiary,regular
28190296,name,Ganga Ram Hospital Road,regular
28190296,old_name,Poorvi Marg,regular
28190305,highway,secondary,regular
28190305,name,Pusa Road,regular
28190305,oneway,yes,regular
28190334,highway,secondary,regular
28190334,oneway,yes,regular
28190350,highway,secondary,regular
28190350,name,Patel Road,regular
28190350,oneway,yes,regular
28190395,highway,secondary,regular
28190395,name,Dayal chowk,regular
28190395,oneway,yes,regular
28190430,highway,tertiary,regular
28190430,name,Arya Samaj Road,regular
28190501,highway,secondary,regular
28190501,name,Vande Matram Marg,regular
28211346,highway,secondary,regular
28211346,junction,roundabout,regular
28211381,highway,secondary,regular
28211381,junction,roundabout,regular
28211381,oneway,yes,regular
28211393,highway,secondary,regular
28211393,name,Panchsheel Marg,regular
28211393,oneway,yes,regular
28211422,highway,secondary,regular
28211422,name,Simon Bolivar Road,regular
28211431,highway,secondary,regular
28211431,name,Panchsheel Marg,regular
28211721,highway,unclassified,regular
28211721,name,Satya Sadan,regular
28211928,highway,secondary,regular
28211928,name,Africa Avenue,regular
28211928,oneway,yes,regular
28211997,highway,tertiary,regular
28211997,name,Venkateshwara Marg,regular
28412393,highway,primary,regular
28412393,lanes,2,regular
28412393,maxspeed,40,regular
28412393,name,Mahatma Gandhi Marg,regular
28412393,oneway,yes,regular
28412396,alt_name,Ring Road,regular
28412396,highway,primary_link,regular
28412396,name,Mahatma Gandhi Marg,regular
28412396,oneway,yes,regular
28412397,alt_name,Ring Road,regular
28412397,highway,primary,regular
28412397,name,Mahatma Gandhi Marg,regular
28412401,bridge,yes,regular
28412401,highway,primary,regular
28412401,layer,1,regular
28412401,name,South Ext Flyover,regular
28412404,highway,primary,regular
28412404,lanes,2,regular
28412404,maxspeed,40,regular
28412404,name,Mahatma Gandhi Marg,regular
28412404,oneway,yes,regular
28616699,highway,secondary,regular
28616699,name,Aurobindo Marg,regular
28616699,oneway,yes,regular
28616699,surface,asphalt,regular
28616701,highway,tertiary,regular
28616702,highway,tertiary,regular
28616703,highway,secondary,regular
28616703,name,Vinay Marg,regular
28616703,oneway,yes,regular
28616704,highway,secondary,regular
28616704,layer,-1,regular
28616704,name,Vinay Marg,regular
28616704,oneway,yes,regular
28616704,tunnel,yes,regular
28616705,highway,secondary,regular
28616705,name,Vinay Marg,regular
28616705,oneway,yes,regular
28616706,highway,secondary,regular
28616706,name,Vinay Marg,regular
28616706,oneway,yes,regular
28616707,highway,secondary,regular
28616707,layer,-1,regular
28616707,name,Vinay Marg,regular
28616707,oneway,yes,regular
28616707,tunnel,yes,regular
28616709,highway,secondary,regular
28616709,name,Africa Avenue,regular
28616711,highway,tertiary,regular
28616711,oneway,yes,regular
28746244,alt_name,Ring Road,regular
28746244,highway,primary,regular
28746244,name,Mahatma Gandhi Marg,regular
28746245,highway,primary_link,regular
28746245,name,Mahatma Gandhi Marg,regular
28746245,oneway,yes,regular
28746776,highway,trunk,regular
28746776,int_ref,AH1,regular
28746776,lanes,4,regular
28746776,maxspeed,80,regular
28746776,motorroad,yes,regular
28746776,name,DND Flyway,regular
28746776,oneway,yes,regular
28773614,highway,primary,regular
28773614,name,Mahatma Gandhi Road,regular
28773614,oneway,yes,regular
28773617,highway,secondary,regular
28773617,name,Shanti Path,regular
28773617,oneway,yes,regular
29534845,highway,tertiary,regular
29534845,name,Tamil Sangam Marg,regular
29534879,highway,secondary,regular
29534879,name,Aurobindo Marg,regular
29534879,oneway,yes,regular
31056641,highway,secondary,regular
31056641,name,Shaheed Baghat Singh Marg,regular
31056641,oneway,yes,regular
31056642,highway,secondary,regular
31056643,highway,tertiary,regular
31056643,name,Peshwa Road,regular
31056643,oneway,yes,regular
31056644,highway,tertiary,regular
31056644,name,Peshwa Road,regular
31056644,oneway,yes,regular
31056645,highway,tertiary,regular
31056645,name,Mandir Marg,regular
31056645,old_name,Reading Road,regular
31056645,oneway,yes,regular
31056646,highway,tertiary,regular
31056646,name,Mandir Marg,regular
31056646,old_name,Reading Road,regular
31056646,oneway,yes,regular
31056828,highway,residential,regular
31056831,highway,tertiary,regular
31056831,name,Dr K S Krishnan Road,regular
31056831,oneway,yes,regular
31058500,highway,secondary,regular
31058500,name,Pusa Road,regular
31058500,oneway,yes,regular
31058505,highway,secondary,regular
31058505,oneway,yes,regular
31058508,highway,secondary,regular
31058508,motorroad,no,regular
31058508,name,Panchkuian Road,regular
31058508,oneway,yes,regular
31058510,highway,secondary,regular
31058510,motorroad,no,regular
31058510,name,Panchkuian Road,regular
31058510,oneway,yes,regular
31059203,highway,tertiary,regular
31059204,highway,tertiary,regular
31059204,name,Satya Sadan,regular
31059205,bridge,yes,regular
31059205,electrified,contact_line,regular
31059205,gauge,1676,regular
31059205,layer,1,regular
31059205,railway,rail,regular
31059206,electrified,contact_line,regular
31059206,frequency,50,regular
31059206,gauge,1676,regular
31059206,railway,rail,regular
31059206,voltage,25000,regular
31059207,highway,tertiary,regular
31059207,oneway,no,regular
31059210,highway,residential,regular
31059775,highway,secondary_link,regular
31059775,oneway,yes,regular
31060395,highway,secondary,regular
31060395,motorroad,no,regular
31060395,oneway,yes,regular
31756483,bridge,yes,regular
31756483,highway,secondary,regular
31756483,layer,1,regular
31756483,name,Aurobindo Marg,regular
31756483,oneway,yes,regular
31756483,surface,asphalt,regular
